INCIDENT_NUMBER,OFFENSE_CODE,OFFENSE_CODE_GROUP,OFFENSE_DESCRIPTION,DISTRICT,REPORTING_AREA,SHOOTING,OCCURRED_ON_DATE,YEAR,MONTH,DAY_OF_WEEK,HOUR,UCR_PART,STREET,Lat,Long,Location
I152053337,01402,Vandalism,VANDALISM,E13,583,Y,2015-06-27 22:59:00,2015,6,Saturday,22,Part Two,ROUND HILL ST,42.32469169,-71.10618924,"(42.32469169, -71.10618924)"
I152059221,00413,Aggravated Assault,ASSAULT - AGGRAVATED - BATTERY,E13,307,Y,2015-07-17 20:04:00,2015,7,Friday,20,Part One,COLUMBUS AVE,42.31488579,-71.09720699,"(42.31488579, -71.09720699)"
I152061055,00413,Aggravated Assault,ASSAULT - AGGRAVATED - BATTERY,E13,578,Y,2015-07-24 01:03:00,2015,7,Friday,1,Part One,CHESTNUT AVE,42.31981996,-71.1042968,"(42.31981996, -71.10429680)"
I152063927,00413,Aggravated Assault,ASSAULT - AGGRAVATED - BATTERY,E13,906,Y,2015-08-02 23:42:00,2015,8,Sunday,23,Part One,HEATH ST,42.32624204,-71.10317575,"(42.32624204, -71.10317575)"
I152066828,00111,Homicide,"MURDER, NON-NEGLIGIENT MANSLAUGHTER",E13,303,Y,2015-08-12 22:14:00,2015,8,Wednesday,22,Part One,ERNST ST,42.31832089,-71.0993481,"(42.31832089, -71.09934810)"
I152066828,00111,Homicide,"MURDER, NON-NEGLIGIENT MANSLAUGHTER",E13,303,Y,2015-08-12 22:14:00,2015,8,Wednesday,22,Part One,ERNST ST,42.31832089,-71.0993481,"(42.31832089, -71.09934810)"
I152066849,03006,Medical Assistance,SICK/INJURED/MEDICAL - PERSON,E13,303,Y,2015-08-13 01:04:00,2015,8,Thursday,1,Part Three,BRAGDON ST,42.31888243,-71.09929423,"(42.31888243, -71.09929423)"
I152067431,02662,Ballistics,BALLISTICS EVIDENCE/FOUND,E13,906,Y,2015-08-15 00:30:00,2015,8,Saturday,0,Part Two,WALDEN ST,42.32561013,-71.10449956,"(42.32561013, -71.10449956)"
I152067431,00413,Aggravated Assault,ASSAULT - AGGRAVATED - BATTERY,E13,906,Y,2015-08-15 00:30:00,2015,8,Saturday,0,Part One,WALDEN ST,42.32561013,-71.10449956,"(42.32561013, -71.10449956)"
I152067431,00413,Aggravated Assault,ASSAULT - AGGRAVATED - BATTERY,E13,906,Y,2015-08-15 00:30:00,2015,8,Saturday,0,Part One,WALDEN ST,42.32561013,-71.10449956,"(42.32561013, -71.10449956)"
I152067431,02662,Ballistics,BALLISTICS EVIDENCE/FOUND,E13,906,Y,2015-08-15 00:30:00,2015,8,Saturday,0,Part Two,WALDEN ST,42.32561013,-71.10449956,"(42.32561013, -71.10449956)"
I152068856,00413,Aggravated Assault,ASSAULT - AGGRAVATED - BATTERY,E13,303,Y,2015-08-20 01:10:00,2015,8,Thursday,1,Part One,ERNST ST,42.31832089,-71.0993481,"(42.31832089, -71.09934810)"
I152096420,00413,Aggravated Assault,ASSAULT - AGGRAVATED - BATTERY,E13,578,Y,2015-11-20 17:58:00,2015,11,Friday,17,Part One,CENTRE ST,42.32246336,-71.10757917,"(42.32246336, -71.10757917)"
I152096420,00111,Homicide,"MURDER, NON-NEGLIGIENT MANSLAUGHTER",E13,578,Y,2015-11-20 17:58:00,2015,11,Friday,17,Part One,CENTRE ST,42.32246336,-71.10757917,"(42.32246336, -71.10757917)"
I152096420,00413,Aggravated Assault,ASSAULT - AGGRAVATED - BATTERY,E13,578,Y,2015-11-20 17:58:00,2015,11,Friday,17,Part One,CENTRE ST,42.32246336,-71.10757917,"(42.32246336, -71.10757917)"
I152096420,00111,Homicide,"MURDER, NON-NEGLIGIENT MANSLAUGHTER",E13,578,Y,2015-11-20 17:58:00,2015,11,Friday,17,Part One,CENTRE ST,42.32246336,-71.10757917,"(42.32246336, -71.10757917)"
I152105038,00413,Aggravated Assault,ASSAULT - AGGRAVATED - BATTERY,E13,583,Y,2015-12-20 21:41:00,2015,12,Sunday,21,Part One,ROUND HILL ST,42.32469169,-71.10618924,"(42.32469169, -71.10618924)"
I152105851,00413,Aggravated Assault,ASSAULT - AGGRAVATED - BATTERY,E13,302,Y,2015-12-23 15:39:00,2015,12,Wednesday,15,Part One,CENTRE ST,42.32283759,-71.10096723,"(42.32283759, -71.10096723)"
I152105851,00413,Aggravated Assault,ASSAULT - AGGRAVATED - BATTERY,E13,302,Y,2015-12-23 15:39:00,2015,12,Wednesday,15,Part One,CENTRE ST,42.32283759,-71.10096723,"(42.32283759, -71.10096723)"
