INCIDENT_NUMBER,OFFENSE_CODE,OFFENSE_CODE_GROUP,OFFENSE_DESCRIPTION,DISTRICT,REPORTING_AREA,SHOOTING,OCCURRED_ON_DATE,YEAR,MONTH,DAY_OF_WEEK,HOUR,UCR_PART,STREET,Lat,Long,Location
222008359,3114,,INVESTIGATE PROPERTY,E13,912,1,2022-02-04 23:30:00,2022,2,Friday,23,,CENTRE ST,42.32290251979814,-71.10220401798426,"(42.32290251979814, -71.10220401798426)"
220010506,3114,,INVESTIGATE PROPERTY,E13,303,1,2022-02-13 01:32:00,2022,2,Sunday,1,,COLUMBUS AVE,42.321024898403046,-71.09845334872156,"(42.321024898403046, -71.09845334872156)"
222019047,3018,,SICK/INJURED/MEDICAL - POLICE,E13, ,1,2022-03-18 17:29:00,2022,3,Friday,17,,WASHINGTON ST,42.30971856767274,-71.10429431787648,"(42.30971856767274, -71.10429431787648)"
222019280,1402,,VANDALISM,E13, ,1,2022-03-19 18:15:00,2022,3,Saturday,18,,WALDEN ST & ARKLOW ST,42.32454302870154,-71.10419100603171,"(42.32454302870154, -71.10419100603171)"
222020661,3114,,INVESTIGATE PROPERTY,E13, ,1,2022-03-24 19:47:00,2022,3,Thursday,19,,HORAN WAY,42.32547536354747,-71.10253481939563,"(42.32547536354747, -71.10253481939563)"
222024071,1402,,VANDALISM,E13, ,1,2022-04-06 13:23:00,2022,4,Wednesday,13,,HEATH ST,42.32624203616944,-71.10317574747674,"(42.32624203616944, -71.10317574747674)"
222025866,111,,"MURDER, NON-NEGLIGENT MANSLAUGHTER",E13, ,1,2022-04-12 22:58:00,2022,4,Tuesday,22,,WALNUT PARK,42.31451478938523,-71.0947082029948,"(42.31451478938523, -71.0947082029948)"
222028128,2662,,BALLISTICS EVIDENCE/FOUND,E13, ,1,2022-04-21 19:46:00,2022,4,Thursday,19,,WALDEN ST,42.32387703255542,-71.10409268668307,"(42.32387703255542, -71.10409268668307)"
222031140,801,,ASSAULT - SIMPLE,E13,916,1,2022-05-02 19:05:00,2022,5,Monday,19,,BICKFORD ST,42.32597067131601,-71.10134303209996,"(42.32597067131601, -71.10134303209996)"
222036408,423,,ASSAULT - AGGRAVATED,E13, ,1,2022-05-21 03:50:00,2022,5,Saturday,3,,HORAN WAY,42.32547536354747,-71.10253481939563,"(42.32547536354747, -71.10253481939563)"
222037576,423,,ASSAULT - AGGRAVATED,E13, ,1,2022-05-24 23:42:00,2022,5,Tuesday,23,,BICKFORD ST,42.32483301260949,-71.10164757231014,"(42.32483301260949, -71.10164757231014)"
