INCIDENT_NUMBER,OFFENSE_CODE,OFFENSE_CODE_GROUP,OFFENSE_DESCRIPTION,DISTRICT,REPORTING_AREA,SHOOTING,OCCURRED_ON_DATE,YEAR,MONTH,DAY_OF_WEEK,HOUR,UCR_PART,STREET,Lat,Long,Location
232009132,3115,,INVESTIGATE PERSON,E5, ,1,2023-02-03 19:20:00+00,2023,2,Friday,19,,WASHINGTON ST,42.27800608421025,-71.13733803000335,"(42.27800608421025, -71.13733803000335)"
232013128,3114,,INVESTIGATE PROPERTY,E5, ,1,2023-02-18 00:32:00+00,2023,2,Saturday,0,,WASHINGTON ST,42.26204882731077,-71.1563590605988,"(42.26204882731077, -71.1563590605988)"
232013221,3114,,INVESTIGATE PROPERTY,E5,825,1,2023-02-18 11:39:00+00,2023,2,Saturday,11,,WASHINGTON ST,42.27386184062585,-71.14236338734692,"(42.27386184062585, -71.14236338734692)"
232018712,3114,,INVESTIGATE PROPERTY,E5,687,1,2023-03-10 19:58:00+00,2023,3,Friday,19,,NEWBURG ST,,,
232026504,3115,,INVESTIGATE PERSON,E5, ,1,2023-04-06 12:48:00+00,2023,4,Thursday,12,,EDGEMERE RD,42.26214824023051,-71.1554173128794,"(42.26214824023051, -71.1554173128794)"
232036850,3114,,INVESTIGATE PROPERTY,E5,737,1,2023-05-11 22:48:00+00,2023,5,Thursday,22,,"COREY ST & MIDVALE RD
WEST ROXBURY  MA 02132
UNITE",42.289361688048466,-71.15848882073686,"(42.289361688048466, -71.15848882073686)"
232048001,3114,,INVESTIGATE PROPERTY,E5,664,1,2023-06-18 19:44:00+00,2023,6,Sunday,19,,WASHINGTON ST,42.29251775906941,-71.12165905626522,"(42.29251775906941, -71.12165905626522)"
232064074,3115,,INVESTIGATE PERSON,E5, ,1,2023-08-12 01:23:00+00,2023,8,Saturday,1,,CENTRE ST,42.281432285944355,-71.15801385467411,"(42.281432285944355, -71.15801385467411)"
232064673,423,,ASSAULT - AGGRAVATED,E5, ,1,2023-08-13 21:47:00+00,2023,8,Sunday,21,,BROOKWAY RD,42.29255578453303,-71.11974298117391,"(42.29255578453303, -71.11974298117391)"
232066834,2662,,BALLISTICS EVIDENCE/FOUND,E5, ,1,2023-08-21 07:29:00+00,2023,8,Monday,7,,W BOUNDARY RD,42.26476245612291,-71.14657438885884,"(42.26476245612291, -71.14657438885884)"
232084165,3114,,INVESTIGATE PROPERTY,E5,663,1,2023-10-17 21:51:00+00,2023,10,Tuesday,21,,WELD ST,42.29469809355405,-71.13312212598225,"(42.29469809355405, -71.13312212598225)"
232085844,3831,,M/V - LEAVING SCENE - PROPERTY DAMAGE,E5,562,1,2023-10-23 19:45:00+00,2023,10,Monday,19,,WASHINGTON ST,42.288546285784655,-71.12587984976102,"(42.288546285784655, -71.12587984976102)"
