INCIDENT_NUMBER,OFFENSE_CODE,OFFENSE_CODE_GROUP,OFFENSE_DESCRIPTION,DISTRICT,REPORTING_AREA,SHOOTING,OCCURRED_ON_DATE,YEAR,MONTH,DAY_OF_WEEK,HOUR,UCR_PART,STREET,Lat,Long,Location
I162004418,00413,Aggravated Assault,ASSAULT - AGGRAVATED - BATTERY,C11,351,Y,2016-01-16 22:05:00,2016,1,Saturday,22,Part One,GENEVA AVE,42.2991807,-71.06429139,"(42.29918070, -71.06429139)"
I162007065,00111,Homicide,"MURDER, NON-NEGLIGIENT MANSLAUGHTER",C11,400,Y,2016-01-27 01:39:00,2016,1,Wednesday,1,Part One,WASHINGTON ST,42.28581121,-71.07115483,"(42.28581121, -71.07115483)"
I162009661,01843,Drug Violation,DRUGS - POSS CLASS B - INTENT TO MFR DIST DISP,C11,356,Y,2016-02-05 02:37:00,2016,2,Friday,2,Part Two,GENEVA AVE,42.29848866,-71.06313294,"(42.29848866, -71.06313294)"
I162009661,01843,Drug Violation,DRUGS - POSS CLASS B - INTENT TO MFR DIST DISP,C11,356,Y,2016-02-05 02:37:00,2016,2,Friday,2,Part Two,GENEVA AVE,42.29848866,-71.06313294,"(42.29848866, -71.06313294)"
I162013862,02662,Ballistics,BALLISTICS EVIDENCE/FOUND,C11,356,Y,2016-02-21 16:29:00,2016,2,Sunday,16,Part Two,DORCHESTER AVE,42.30028028,-71.06015261,"(42.30028028, -71.06015261)"
I162013862,00413,Aggravated Assault,ASSAULT - AGGRAVATED - BATTERY,C11,356,Y,2016-02-21 16:29:00,2016,2,Sunday,16,Part One,DORCHESTER AVE,42.30028028,-71.06015261,"(42.30028028, -71.06015261)"
I162031289,00413,Aggravated Assault,ASSAULT - AGGRAVATED - BATTERY,C11,332,Y,2016-04-22 18:04:00,2016,4,Friday,18,Part One,HANCOCK ST,42.31424792,-71.06560782,"(42.31424792, -71.06560782)"
I162034516,00413,Aggravated Assault,ASSAULT - AGGRAVATED - BATTERY,C11,402,Y,2016-05-03 21:47:00,2016,5,Tuesday,21,Part One,BAILEY ST,42.28466568,-71.06602188,"(42.28466568, -71.06602188)"
I162034516,00413,Aggravated Assault,ASSAULT - AGGRAVATED - BATTERY,C11,402,Y,2016-05-03 21:47:00,2016,5,Tuesday,21,Part One,BAILEY ST,42.28466568,-71.06602188,"(42.28466568, -71.06602188)"
I162037458,01402,Vandalism,VANDALISM,C11,436,Y,2016-05-13 18:36:00,2016,5,Friday,18,Part Two,WASHINGTON ST,42.28908473,-71.07122181,"(42.28908473, -71.07122181)"
