INCIDENT_NUMBER,OFFENSE_CODE,OFFENSE_CODE_GROUP,OFFENSE_DESCRIPTION,DISTRICT,REPORTING_AREA,SHOOTING,OCCURRED_ON_DATE,YEAR,MONTH,DAY_OF_WEEK,HOUR,UCR_PART,STREET,Lat,Long,Location
202000023,1402,,VANDALISM,C11,340,1,2020-01-01 02:05:00,2020,1,Wednesday,2,,DRAPER ST,42.3054071480068,-71.0654713515291,"(42.3054071480068, -71.0654713515291)"
202001470,3114,,INVESTIGATE PROPERTY,C11,355,1,2020-01-06 17:08:00,2020,1,Monday,17,,DORCHESTER AVE,42.2966620162352,-71.0612183646022,"(42.2966620162352, -71.0612183646022)"
202002249,3114,,INVESTIGATE PROPERTY,C11,402,1,2020-01-09 15:18:00,2020,1,Thursday,15,,"BAILEY ST & WASHINGTON ST
DORCHESTER  MA 02124
UNI",42.2830200002665,-71.0713799442566,"(42.2830200002665, -71.0713799442566)"
202002679,3114,,INVESTIGATE PROPERTY,C11,357,1,2020-01-10 23:29:00,2020,1,Friday,23,,DAKOTA ST,42.3001654325412,-71.0668536964595,"(42.3001654325412, -71.0668536964595)"
202003142,3114,,INVESTIGATE PROPERTY,C11,337,1,2020-01-12 18:02:00,2020,1,Sunday,18,,VAUGHAN AVE,42.3062624895759,-71.0763315664891,"(42.3062624895759, -71.0763315664891)"
202004686,2662,,BALLISTICS EVIDENCE/FOUND,C11,455,1,2020-01-18 03:28:00,2020,1,Saturday,3,,WASHINGTON ST,42.3014471381516,-71.0768134841345,"(42.3014471381516, -71.0768134841345)"
202004811,3114,,INVESTIGATE PROPERTY,C11,360,1,2020-01-18 16:20:00,2020,1,Saturday,16,,PARK ST,42.2978660620364,-71.0633251713226,"(42.2978660620364, -71.0633251713226)"
202014742,2662,,BALLISTICS EVIDENCE/FOUND,C11,355,1,2020-01-18 17:00:00,2020,1,Saturday,17,,EAST ST,42.2975553295965,-71.0597091024257,"(42.2975553295965, -71.0597091024257)"
202005082,423,,ASSAULT - AGGRAVATED,C11,352,1,2020-01-19 18:43:00,2020,1,Sunday,18,,DRAPER ST,42.3016862239717,-71.0632890094245,"(42.3016862239717, -71.0632890094245)"
202005879,111,,"MURDER, NON-NEGLIGIENT MANSLAUGHTER",C11,289,1,2020-01-22 19:14:00,2020,1,Wednesday,19,,JULIETTE ST,42.3058442253615,-71.0626155470639,"(42.3058442253615, -71.0626155470639)"
202006114,2662,,BALLISTICS EVIDENCE/FOUND,C11, ,1,2020-01-23 15:01:00,2020,1,Thursday,15,,HANCOCK ST,42.3142479164708,-71.0656078181009,"(42.3142479164708, -71.0656078181009)"
202006576,3114,,INVESTIGATE PROPERTY,C11,360,1,2020-01-25 03:48:00,2020,1,Saturday,3,,MELVILLE AVE,42.2959423801406,-71.0619064426893,"(42.2959423801406, -71.0619064426893)"
202007008,3114,,INVESTIGATE PROPERTY,C11, ,1,2020-01-26 21:06:00,2020,1,Sunday,21,,STOUGHTON ST,42.3158145249992,-71.0623369034194,"(42.3158145249992, -71.0623369034194)"
202008783,2662,,BALLISTICS EVIDENCE/FOUND,C11,435,1,2020-02-02 03:29:00,2020,2,Sunday,3,,WASHINGTON ST,42.2858112095702,-71.071154825849,"(42.2858112095702, -71.071154825849)"
202008787,301,,ROBBERY,C11,435,1,2020-02-02 03:43:00,2020,2,Sunday,3,,WASHINGTON ST,42.2858112095702,-71.071154825849,"(42.2858112095702, -71.071154825849)"
